key,value,tag,definition_en,definition_ca,definition_es,count_all,count_all_fraction,count_nodes,count_nodes_fraction,count_ways,count_ways_fraction,count_relations,count_relations_fraction,in_wiki,projects
tiger:name_direction_prefix,S,tiger:name_direction_prefix=S,An OSM tiger:name_direction_prefix tag with value 'S' used to describe tiger:name_direction_prefix features,Una etiqueta OSM tiger:name_direction_prefix amb valor 'S' utilitzada per descriure característiques tiger:name_direction_prefix,Una etiqueta OSM tiger:name_direction_prefix con valor 'S' utilizada para describir características tiger:name_direction_prefix,271989,0.0,0,0.0,271988,0.0002,1,0.0,No,0
place,farm,place=farm,An OSM place tag with value 'farm' used to describe place features,Una etiqueta OSM place amb valor 'farm' utilitzada per descriure característiques place,Una etiqueta OSM place con valor 'farm' utilizada para describir características place,271635,0.0,259961,0.001,10439,0.0,1235,0.0001,Yes,13
addr:neighbourhood,12,addr:neighbourhood=12,An OSM addr:neighbourhood tag with value '12' used to describe addr:neighbourhood features,Una etiqueta OSM addr:neighbourhood amb valor '12' utilitzada per descriure característiques addr:neighbourhood,Una etiqueta OSM addr:neighbourhood con valor '12' utilizada para describir características addr:neighbourhood,271574,0.0,271463,0.001,102,0.0,9,0.0,No,0
addr:city,Portland,addr:city=Portland,An OSM addr:city tag with value 'Portland' used to describe addr:city features,Una etiqueta OSM addr:city amb valor 'Portland' utilitzada per descriure característiques addr:city,Una etiqueta OSM addr:city con valor 'Portland' utilizada para describir características addr:city,271086,0.0,49757,0.0002,221097,0.0002,232,0.0,No,0
trail_visibility,good,trail_visibility=good,An OSM trail_visibility tag with value 'good' used to describe trail_visibility features,Una etiqueta OSM trail_visibility amb valor 'good' utilitzada per descriure característiques trail_visibility,Una etiqueta OSM trail_visibility con valor 'good' utilizada para describir características trail_visibility,270574,0.0,40,0.0,270329,0.0002,205,0.0,No,5
source,GURS,source=GURS,An OSM source tag with value 'GURS' used to describe source features,Una etiqueta OSM source amb valor 'GURS' utilitzada per descriure característiques source,Una etiqueta OSM source con valor 'GURS' utilizada para describir características source,270123,0.0,142426,0.0005,127683,0.0001,14,0.0,Yes,0
raba:id,1300,raba:id=1300,An OSM raba:id tag with value '1300' used to describe raba:id features,Una etiqueta OSM raba:id amb valor '1300' utilitzada per descriure característiques raba:id,Una etiqueta OSM raba:id con valor '1300' utilizada para describir características raba:id,269968,0.0,0,0.0,206074,0.0002,63894,0.0047,Yes,1
highway,tertiary_link,highway=tertiary_link,An OSM highway tag with value 'tertiary_link' used to describe highway features,Una etiqueta OSM highway amb valor 'tertiary_link' utilitzada per descriure característiques highway,Una etiqueta OSM highway con valor 'tertiary_link' utilizada para describir características highway,269872,0.0,0,0.0,269872,0.0002,0,0.0,Yes,31
source,BRG_MAPATHON_2020,source=BRG_MAPATHON_2020,An OSM source tag with value 'BRG_MAPATHON_2020' used to describe source features,Una etiqueta OSM source amb valor 'BRG_MAPATHON_2020' utilitzada per descriure característiques source,Una etiqueta OSM source con valor 'BRG_MAPATHON_2020' utilizada para describir características source,269426,0.0,26561,0.0001,242865,0.0002,0,0.0,No,0
building:ruian:type,8,building:ruian:type=8,An OSM building:ruian:type tag with value '8' used to describe building:ruian:type features,Una etiqueta OSM building:ruian:type amb valor '8' utilitzada per descriure característiques building:ruian:type,Una etiqueta OSM building:ruian:type con valor '8' utilizada para describir características building:ruian:type,268811,0.0,2,0.0,268762,0.0002,47,0.0,No,0
addr:unit,3,addr:unit=3,An OSM addr:unit tag with value '3' used to describe addr:unit features,Una etiqueta OSM addr:unit amb valor '3' utilitzada per descriure característiques addr:unit,Una etiqueta OSM addr:unit con valor '3' utilizada para describir características addr:unit,268315,0.0,253031,0.0009,15245,0.0,39,0.0,No,0
railway,buffer_stop,railway=buffer_stop,An OSM railway tag with value 'buffer_stop' used to describe railway features,Una etiqueta OSM railway amb valor 'buffer_stop' utilitzada per descriure característiques railway,Una etiqueta OSM railway con valor 'buffer_stop' utilizada para describir características railway,267172,0.0,267148,0.001,24,0.0,0,0.0,Yes,10
addr:housenumber,77,addr:housenumber=77,An OSM addr:housenumber tag with value '77' used to describe addr:housenumber features,Una etiqueta OSM addr:housenumber amb valor '77' utilitzada per descriure característiques addr:housenumber,Una etiqueta OSM addr:housenumber con valor '77' utilizada para describir características addr:housenumber,266611,0.0,132909,0.0005,133362,0.0001,340,0.0,No,0
man_made,street_cabinet,man_made=street_cabinet,An OSM man_made tag with value 'street_cabinet' used to describe man_made features,Una etiqueta OSM man_made amb valor 'street_cabinet' utilitzada per descriure característiques man_made,Una etiqueta OSM man_made con valor 'street_cabinet' utilizada para describir características man_made,266595,0.0,232899,0.0009,33670,0.0,26,0.0,Yes,15
addr:city,Rochester,addr:city=Rochester,An OSM addr:city tag with value 'Rochester' used to describe addr:city features,Una etiqueta OSM addr:city amb valor 'Rochester' utilitzada per descriure característiques addr:city,Una etiqueta OSM addr:city con valor 'Rochester' utilizada para describir características addr:city,265824,0.0,237979,0.0009,27753,0.0,92,0.0,No,0
surveillance:type,camera,surveillance:type=camera,An OSM surveillance:type tag with value 'camera' used to describe surveillance:type features,Una etiqueta OSM surveillance:type amb valor 'camera' utilitzada per descriure característiques surveillance:type,Una etiqueta OSM surveillance:type con valor 'camera' utilizada para describir características surveillance:type,264778,0.0,263546,0.001,795,0.0,437,0.0,No,6
passenger_lines,1,passenger_lines=1,An OSM passenger_lines tag with value '1' used to describe passenger_lines features,Una etiqueta OSM passenger_lines amb valor '1' utilitzada per descriure característiques passenger_lines,Una etiqueta OSM passenger_lines con valor '1' utilizada para describir características passenger_lines,264409,0.0,36,0.0,264359,0.0002,14,0.0,No,0
naptan:verified,no,naptan:verified=no,An OSM naptan:verified tag with value 'no' used to describe naptan:verified features,Una etiqueta OSM naptan:verified amb valor 'no' utilitzada per descriure característiques naptan:verified,Una etiqueta OSM naptan:verified con valor 'no' utilizada para describir características naptan:verified,264337,0.0,216594,0.0008,79,0.0,47664,0.0035,Yes,1
addr:city,Hamburg,addr:city=Hamburg,An OSM addr:city tag with value 'Hamburg' used to describe addr:city features,Una etiqueta OSM addr:city amb valor 'Hamburg' utilitzada per descriure característiques addr:city,Una etiqueta OSM addr:city con valor 'Hamburg' utilizada para describir características addr:city,263804,0.0,61810,0.0002,201765,0.0002,229,0.0,No,0
surface,wood,surface=wood,An OSM surface tag with value 'wood' used to describe surface features,Una etiqueta OSM surface amb valor 'wood' utilitzada per descriure característiques surface,Una etiqueta OSM surface con valor 'wood' utilizada para describir características surface,263652,0.0,4356,0.0,258747,0.0002,549,0.0,Yes,14
building,ruins,building=ruins,An OSM building tag with value 'ruins' used to describe building features,Una etiqueta OSM building amb valor 'ruins' utilitzada per descriure característiques building,Una etiqueta OSM building con valor 'ruins' utilizada para describir características building,263550,0.0,3789,0.0,258297,0.0002,1464,0.0001,Yes,9
route,hiking,route=hiking,An OSM route tag with value 'hiking' used to describe route features,Una etiqueta OSM route amb valor 'hiking' utilitzada per descriure característiques route,Una etiqueta OSM route con valor 'hiking' utilizada para describir características route,263153,0.0,99,0.0,10775,0.0,252279,0.0184,Yes,10
bicycle,dismount,bicycle=dismount,An OSM bicycle tag with value 'dismount' used to describe bicycle features,Una etiqueta OSM bicycle amb valor 'dismount' utilitzada per descriure característiques bicycle,Una etiqueta OSM bicycle con valor 'dismount' utilizada para describir características bicycle,263143,0.0,23564,0.0001,239261,0.0002,318,0.0,Yes,7
source:date,1989-07-01,source:date=1989-07-01,An OSM source:date tag with value '1989-07-01' used to describe source:date features,Una etiqueta OSM source:date amb valor '1989-07-01' utilitzada per descriure característiques source:date,Una etiqueta OSM source:date con valor '1989-07-01' utilizada para describir características source:date,263087,0.0,636,0.0,261984,0.0002,467,0.0,No,0
roof:colour,red,roof:colour=red,An OSM roof:colour tag with value 'red' used to describe roof:colour features,Una etiqueta OSM roof:colour amb valor 'red' utilitzada per descriure característiques roof:colour,Una etiqueta OSM roof:colour con valor 'red' utilizada para describir características roof:colour,262796,0.0,279,0.0,261640,0.0002,877,0.0001,No,2
source,City of Philadelphia,source=City of Philadelphia,An OSM source tag with value 'City of Philadelphia' used to describe source features,Una etiqueta OSM source amb valor 'City of Philadelphia' utilitzada per descriure característiques source,Una etiqueta OSM source con valor 'City of Philadelphia' utilizada para describir características source,261377,0.0,475,0.0,260899,0.0002,3,0.0,No,0
kerb,raised,kerb=raised,An OSM kerb tag with value 'raised' used to describe kerb features,Una etiqueta OSM kerb amb valor 'raised' utilitzada per descriure característiques kerb,Una etiqueta OSM kerb con valor 'raised' utilizada para describir características kerb,260874,0.0,190046,0.0007,70553,0.0001,275,0.0,Yes,10
addr:city,新竹縣,addr:city=新竹縣,An OSM addr:city tag with value '新竹縣' used to describe addr:city features,Una etiqueta OSM addr:city amb valor '新竹縣' utilitzada per descriure característiques addr:city,Una etiqueta OSM addr:city con valor '新竹縣' utilizada para describir características addr:city,260865,0.0,259861,0.001,976,0.0,28,0.0,No,0
natural,shrub,natural=shrub,An OSM natural tag with value 'shrub' used to describe natural features,Una etiqueta OSM natural amb valor 'shrub' utilitzada per descriure característiques natural,Una etiqueta OSM natural con valor 'shrub' utilizada para describir características natural,260767,0.0,259771,0.001,937,0.0,59,0.0,Yes,10
addr:neighbourhood,13,addr:neighbourhood=13,An OSM addr:neighbourhood tag with value '13' used to describe addr:neighbourhood features,Una etiqueta OSM addr:neighbourhood amb valor '13' utilitzada per descriure característiques addr:neighbourhood,Una etiqueta OSM addr:neighbourhood con valor '13' utilizada para describir características addr:neighbourhood,260661,0.0,260562,0.001,92,0.0,7,0.0,No,0
source,Algerie Mapper Team (Superadlen),source=Algerie Mapper Team (Superadlen),An OSM source tag with value 'Algerie Mapper Team (Superadlen)' used to describe source features,Una etiqueta OSM source amb valor 'Algerie Mapper Team (Superadlen)' utilitzada per descriure característiques source,Una etiqueta OSM source con valor 'Algerie Mapper Team (Superadlen)' utilizada para describir características source,260302,0.0,562,0.0,259736,0.0002,4,0.0,No,0
operator:type,government,operator:type=government,An OSM operator:type tag with value 'government' used to describe operator:type features,Una etiqueta OSM operator:type amb valor 'government' utilitzada per descriure característiques operator:type,Una etiqueta OSM operator:type con valor 'government' utilizada para describir características operator:type,260059,0.0,91000,0.0003,158957,0.0001,10102,0.0007,Yes,6
construction,yes,construction=yes,An OSM construction tag with value 'yes' used to describe construction features,Una etiqueta OSM construction amb valor 'yes' utilitzada per descriure característiques construction,Una etiqueta OSM construction con valor 'yes' utilizada para describir características construction,259778,0.0,186999,0.0007,72519,0.0001,260,0.0,Yes,2
addr:housenumber,78,addr:housenumber=78,An OSM addr:housenumber tag with value '78' used to describe addr:housenumber features,Una etiqueta OSM addr:housenumber amb valor '78' utilitzada per descriure característiques addr:housenumber,Una etiqueta OSM addr:housenumber con valor '78' utilizada para describir características addr:housenumber,259585,0.0,129152,0.0005,130146,0.0001,287,0.0,No,0
source:url,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663,source:url=https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663,An OSM source:url tag with value 'https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663' used to describe source:url features,Una etiqueta OSM source:url amb valor 'https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663' utilitzada per descriure característiques source:url,Una etiqueta OSM source:url con valor 'https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663' utilizada para describir características source:url,258946,0.0,258946,0.0009,0,0.0,0,0.0,No,0
source,新竹縣政府,source=新竹縣政府,An OSM source tag with value '新竹縣政府' used to describe source features,Una etiqueta OSM source amb valor '新竹縣政府' utilitzada per descriure característiques source,Una etiqueta OSM source con valor '新竹縣政府' utilizada para describir características source,258945,0.0,258945,0.0009,0,0.0,0,0.0,No,0
waterway,dam,waterway=dam,An OSM waterway tag with value 'dam' used to describe waterway features,Una etiqueta OSM waterway amb valor 'dam' utilitzada per descriure característiques waterway,Una etiqueta OSM waterway con valor 'dam' utilizada para describir características waterway,257733,0.0,43594,0.0002,210664,0.0002,3475,0.0003,Yes,14
height,10,height=10,An OSM height tag with value '10' used to describe height features,Una etiqueta OSM height amb valor '10' utilitzada per descriure característiques height,Una etiqueta OSM height con valor '10' utilizada para describir características height,257721,0.0,118636,0.0004,137271,0.0001,1814,0.0001,No,2
operator,SNCF Réseau,operator=SNCF Réseau,An OSM operator tag with value 'SNCF Réseau' used to describe operator features,Una etiqueta OSM operator amb valor 'SNCF Réseau' utilitzada per descriure característiques operator,Una etiqueta OSM operator con valor 'SNCF Réseau' utilizada para describir características operator,257581,0.0,159742,0.0006,96555,0.0001,1284,0.0001,No,1
power,portal,power=portal,An OSM power tag with value 'portal' used to describe power features,Una etiqueta OSM power amb valor 'portal' utilitzada per descriure característiques power,Una etiqueta OSM power con valor 'portal' utilizada para describir características power,257364,0.0,221844,0.0008,35518,0.0,2,0.0,Yes,7
source,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2022,source=cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2022,An OSM source tag with value 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2022' used to describe source features,Una etiqueta OSM source amb valor 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2022' utilitzada per descriure característiques source,Una etiqueta OSM source con valor 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2022' utilizada para describir características source,257342,0.0,49006,0.0002,206776,0.0002,1560,0.0001,No,0
lanes,5,lanes=5,An OSM lanes tag with value '5' used to describe lanes features,Una etiqueta OSM lanes amb valor '5' utilitzada per descriure característiques lanes,Una etiqueta OSM lanes con valor '5' utilizada para describir características lanes,257091,0.0,88,0.0,256844,0.0002,159,0.0,No,3
addr:state,AR,addr:state=AR,An OSM addr:state tag with value 'AR' used to describe addr:state features,Una etiqueta OSM addr:state amb valor 'AR' utilitzada per descriure característiques addr:state,Una etiqueta OSM addr:state con valor 'AR' utilizada para describir características addr:state,256842,0.0,185183,0.0007,71457,0.0001,202,0.0,No,1
garden:type,residential,garden:type=residential,An OSM garden:type tag with value 'residential' used to describe garden:type features,Una etiqueta OSM garden:type amb valor 'residential' utilitzada per descriure característiques garden:type,Una etiqueta OSM garden:type con valor 'residential' utilizada para describir características garden:type,256737,0.0,180,0.0,243043,0.0002,13514,0.001,Yes,5
leisure,sports_centre,leisure=sports_centre,An OSM leisure tag with value 'sports_centre' used to describe leisure features,Una etiqueta OSM leisure amb valor 'sports_centre' utilitzada per descriure característiques leisure,Una etiqueta OSM leisure con valor 'sports_centre' utilizada para describir características leisure,255688,0.0,49808,0.0002,199764,0.0002,6116,0.0004,Yes,29
utility,power,utility=power,An OSM utility tag with value 'power' used to describe utility features,Una etiqueta OSM utility amb valor 'power' utilitzada per descriure característiques utility,Una etiqueta OSM utility con valor 'power' utilizada para describir características utility,255646,0.0,219621,0.0008,35930,0.0,95,0.0,Yes,9
frequency,60,frequency=60,An OSM frequency tag with value '60' used to describe frequency features,Una etiqueta OSM frequency amb valor '60' utilitzada per descriure característiques frequency,Una etiqueta OSM frequency con valor '60' utilizada para describir características frequency,254695,0.0,19355,0.0001,231191,0.0002,4149,0.0003,Yes,5
addr:city,Montevideo,addr:city=Montevideo,An OSM addr:city tag with value 'Montevideo' used to describe addr:city features,Una etiqueta OSM addr:city amb valor 'Montevideo' utilitzada per descriure característiques addr:city,Una etiqueta OSM addr:city con valor 'Montevideo' utilizada para describir características addr:city,254365,0.0,252848,0.0009,1488,0.0,29,0.0,No,0
addr:province,القليوبية,addr:province=القليوبية,An OSM addr:province tag with value 'القليوبية' used to describe addr:province features,Una etiqueta OSM addr:province amb valor 'القليوبية' utilitzada per descriure característiques addr:province,Una etiqueta OSM addr:province con valor 'القليوبية' utilizada para describir características addr:province,254229,0.0,254229,0.0009,0,0.0,0,0.0,No,0
addr:province:en,Al Qalyubia,addr:province:en=Al Qalyubia,An OSM addr:province:en tag with value 'Al Qalyubia' used to describe addr:province:en features,Una etiqueta OSM addr:province:en amb valor 'Al Qalyubia' utilitzada per descriure característiques addr:province:en,Una etiqueta OSM addr:province:en con valor 'Al Qalyubia' utilizada para describir características addr:province:en,254229,0.0,254229,0.0009,0,0.0,0,0.0,No,0
maxspeed,120,maxspeed=120,An OSM maxspeed tag with value '120' used to describe maxspeed features,Una etiqueta OSM maxspeed amb valor '120' utilitzada per descriure característiques maxspeed,Una etiqueta OSM maxspeed con valor '120' utilizada para describir características maxspeed,253524,0.0,4112,0.0,248736,0.0002,676,0.0,Yes,2
addr:housenumber,101,addr:housenumber=101,An OSM addr:housenumber tag with value '101' used to describe addr:housenumber features,Una etiqueta OSM addr:housenumber amb valor '101' utilitzada per descriure característiques addr:housenumber,Una etiqueta OSM addr:housenumber con valor '101' utilizada para describir características addr:housenumber,253370,0.0,145787,0.0005,107206,0.0001,377,0.0,No,0
shoulder,no,shoulder=no,An OSM shoulder tag with value 'no' used to describe shoulder features,Una etiqueta OSM shoulder amb valor 'no' utilitzada per descriure característiques shoulder,Una etiqueta OSM shoulder con valor 'no' utilizada para describir características shoulder,253164,0.0,0,0.0,253164,0.0002,0,0.0,No,3
cycleway:left,no,cycleway:left=no,An OSM cycleway:left tag with value 'no' used to describe cycleway:left features,Una etiqueta OSM cycleway:left amb valor 'no' utilitzada per descriure característiques cycleway:left,Una etiqueta OSM cycleway:left con valor 'no' utilizada para describir características cycleway:left,252412,0.0,7,0.0,252404,0.0002,1,0.0,Yes,1
addr:district,板橋區,addr:district=板橋區,An OSM addr:district tag with value '板橋區' used to describe addr:district features,Una etiqueta OSM addr:district amb valor '板橋區' utilitzada per descriure característiques addr:district,Una etiqueta OSM addr:district con valor '板橋區' utilizada para describir características addr:district,252372,0.0,252031,0.0009,289,0.0,52,0.0,No,0
addr:housenumber,79,addr:housenumber=79,An OSM addr:housenumber tag with value '79' used to describe addr:housenumber features,Una etiqueta OSM addr:housenumber amb valor '79' utilitzada per descriure característiques addr:housenumber,Una etiqueta OSM addr:housenumber con valor '79' utilizada para describir características addr:housenumber,252340,0.0,125785,0.0005,126270,0.0001,285,0.0,No,0
start_date,1972,start_date=1972,An OSM start_date tag with value '1972' used to describe start_date features,Una etiqueta OSM start_date amb valor '1972' utilitzada per descriure característiques start_date,Una etiqueta OSM start_date con valor '1972' utilizada para describir características start_date,251674,0.0,4196,0.0,246721,0.0002,757,0.0001,No,0
payment:credit_cards,yes,payment:credit_cards=yes,An OSM payment:credit_cards tag with value 'yes' used to describe payment:credit_cards features,Una etiqueta OSM payment:credit_cards amb valor 'yes' utilitzada per descriure característiques payment:credit_cards,Una etiqueta OSM payment:credit_cards con valor 'yes' utilizada para describir características payment:credit_cards,251153,0.0,197651,0.0007,49904,0.0,3598,0.0003,No,33
source,Esri World Imagery,source=Esri World Imagery,An OSM source tag with value 'Esri World Imagery' used to describe source features,Una etiqueta OSM source amb valor 'Esri World Imagery' utilitzada per descriure característiques source,Una etiqueta OSM source con valor 'Esri World Imagery' utilizada para describir características source,250973,0.0,14321,0.0001,236269,0.0002,383,0.0,No,0
addr:street,Центральная улица,addr:street=Центральная улица,An OSM addr:street tag with value 'Центральная улица' used to describe addr:street features,Una etiqueta OSM addr:street amb valor 'Центральная улица' utilitzada per descriure característiques addr:street,Una etiqueta OSM addr:street con valor 'Центральная улица' utilizada para describir características addr:street,250657,0.0,3438,0.0,247036,0.0002,183,0.0,No,0
admin_level,6,admin_level=6,An OSM admin_level tag with value '6' used to describe admin_level features,Una etiqueta OSM admin_level amb valor '6' utilitzada per descriure característiques admin_level,Una etiqueta OSM admin_level con valor '6' utilizada para describir características admin_level,250617,0.0,3651,0.0,199468,0.0002,47498,0.0035,Yes,16
start_date,1950,start_date=1950,An OSM start_date tag with value '1950' used to describe start_date features,Una etiqueta OSM start_date amb valor '1950' utilitzada per descriure característiques start_date,Una etiqueta OSM start_date con valor '1950' utilizada para describir características start_date,250248,0.0,8918,0.0,240908,0.0002,422,0.0,No,0
landuse,construction,landuse=construction,An OSM landuse tag with value 'construction' used to describe landuse features,Una etiqueta OSM landuse amb valor 'construction' utilitzada per descriure característiques landuse,Una etiqueta OSM landuse con valor 'construction' utilizada para describir características landuse,249890,0.0,135,0.0,242454,0.0002,7301,0.0005,Yes,24
addr:floor,7,addr:floor=7,An OSM addr:floor tag with value '7' used to describe addr:floor features,Una etiqueta OSM addr:floor amb valor '7' utilitzada per descriure característiques addr:floor,Una etiqueta OSM addr:floor con valor '7' utilizada para describir características addr:floor,249730,0.0,249721,0.0009,9,0.0,0,0.0,No,0
operator:wikidata,Q2178795,operator:wikidata=Q2178795,An OSM operator:wikidata tag with value 'Q2178795' used to describe operator:wikidata features,Una etiqueta OSM operator:wikidata amb valor 'Q2178795' utilitzada per descriure característiques operator:wikidata,Una etiqueta OSM operator:wikidata con valor 'Q2178795' utilizada para describir características operator:wikidata,248885,0.0,216563,0.0008,30794,0.0,1528,0.0001,No,1
start_date,1975,start_date=1975,An OSM start_date tag with value '1975' used to describe start_date features,Una etiqueta OSM start_date amb valor '1975' utilitzada per descriure característiques start_date,Una etiqueta OSM start_date con valor '1975' utilizada para describir características start_date,248840,0.0,14354,0.0001,233869,0.0002,617,0.0,No,0
entrance,home,entrance=home,An OSM entrance tag with value 'home' used to describe entrance features,Una etiqueta OSM entrance amb valor 'home' utilitzada per descriure característiques entrance,Una etiqueta OSM entrance con valor 'home' utilizada para describir características entrance,248753,0.0,248737,0.0009,16,0.0,0,0.0,Yes,9
addr:housenumber,81,addr:housenumber=81,An OSM addr:housenumber tag with value '81' used to describe addr:housenumber features,Una etiqueta OSM addr:housenumber amb valor '81' utilitzada per descriure característiques addr:housenumber,Una etiqueta OSM addr:housenumber con valor '81' utilizada para describir características addr:housenumber,248392,0.0,125214,0.0005,122867,0.0001,311,0.0,No,0
tourism,viewpoint,tourism=viewpoint,An OSM tourism tag with value 'viewpoint' used to describe tourism features,Una etiqueta OSM tourism amb valor 'viewpoint' utilitzada per descriure característiques tourism,Una etiqueta OSM tourism con valor 'viewpoint' utilizada para describir características tourism,247877,0.0,241440,0.0009,6272,0.0,165,0.0,Yes,27
source,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2021,source=cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2021,An OSM source tag with value 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2021' used to describe source features,Una etiqueta OSM source amb valor 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2021' utilitzada per descriure característiques source,Una etiqueta OSM source con valor 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2021' utilizada para describir características source,247722,0.0,24839,0.0001,222688,0.0002,195,0.0,No,0
oneway:bicycle,no,oneway:bicycle=no,An OSM oneway:bicycle tag with value 'no' used to describe oneway:bicycle features,Una etiqueta OSM oneway:bicycle amb valor 'no' utilitzada per descriure característiques oneway:bicycle,Una etiqueta OSM oneway:bicycle con valor 'no' utilizada para describir características oneway:bicycle,247247,0.0,140,0.0,247101,0.0002,6,0.0,Yes,9
tourism,attraction,tourism=attraction,An OSM tourism tag with value 'attraction' used to describe tourism features,Una etiqueta OSM tourism amb valor 'attraction' utilitzada per descriure característiques tourism,Una etiqueta OSM tourism con valor 'attraction' utilizada para describir características tourism,246619,0.0,167581,0.0006,73686,0.0001,5352,0.0004,Yes,22
source,MGC,source=MGC,An OSM source tag with value 'MGC' used to describe source features,Una etiqueta OSM source amb valor 'MGC' utilitzada per descriure característiques source,Una etiqueta OSM source con valor 'MGC' utilizada para describir características source,246546,0.0,42,0.0,245626,0.0002,878,0.0001,No,0
addr:neighbourhood,14,addr:neighbourhood=14,An OSM addr:neighbourhood tag with value '14' used to describe addr:neighbourhood features,Una etiqueta OSM addr:neighbourhood amb valor '14' utilitzada per descriure característiques addr:neighbourhood,Una etiqueta OSM addr:neighbourhood con valor '14' utilizada para describir características addr:neighbourhood,246353,0.0,246032,0.0009,315,0.0,6,0.0,No,0
source,PNOA,source=PNOA,An OSM source tag with value 'PNOA' used to describe source features,Una etiqueta OSM source amb valor 'PNOA' utilitzada per descriure característiques source,Una etiqueta OSM source con valor 'PNOA' utilizada para describir características source,245770,0.0,60548,0.0002,182702,0.0002,2520,0.0002,No,2
landuse,quarry,landuse=quarry,An OSM landuse tag with value 'quarry' used to describe landuse features,Una etiqueta OSM landuse amb valor 'quarry' utilitzada per descriure característiques landuse,Una etiqueta OSM landuse con valor 'quarry' utilizada para describir características landuse,245230,0.0,30812,0.0001,204236,0.0002,10182,0.0007,Yes,28
source,Mapbox,source=Mapbox,An OSM source tag with value 'Mapbox' used to describe source features,Una etiqueta OSM source amb valor 'Mapbox' utilitzada per descriure característiques source,Una etiqueta OSM source con valor 'Mapbox' utilizada para describir características source,244651,0.0,13848,0.0001,230127,0.0002,676,0.0,No,2
button_operated,no,button_operated=no,An OSM button_operated tag with value 'no' used to describe button_operated features,Una etiqueta OSM button_operated amb valor 'no' utilitzada per descriure característiques button_operated,Una etiqueta OSM button_operated con valor 'no' utilizada para describir características button_operated,244537,0.0,229731,0.0008,14806,0.0,0,0.0,Yes,7
waste,trash,waste=trash,An OSM waste tag with value 'trash' used to describe waste features,Una etiqueta OSM waste amb valor 'trash' utilitzada per descriure característiques waste,Una etiqueta OSM waste con valor 'trash' utilizada para describir características waste,244505,0.0,242661,0.0009,1829,0.0,15,0.0,Yes,9
zone:traffic,NL:urban,zone:traffic=NL:urban,An OSM zone:traffic tag with value 'NL:urban' used to describe zone:traffic features,Una etiqueta OSM zone:traffic amb valor 'NL:urban' utilitzada per descriure característiques zone:traffic,Una etiqueta OSM zone:traffic con valor 'NL:urban' utilizada para describir características zone:traffic,244270,0.0,37,0.0,244148,0.0002,85,0.0,Yes,3
amenity,parking_entrance,amenity=parking_entrance,An OSM amenity tag with value 'parking_entrance' used to describe amenity features,Una etiqueta OSM amenity amb valor 'parking_entrance' utilitzada per descriure característiques amenity,Una etiqueta OSM amenity con valor 'parking_entrance' utilizada para describir características amenity,244087,0.0,243414,0.0009,665,0.0,8,0.0,Yes,10
natural,rock,natural=rock,An OSM natural tag with value 'rock' used to describe natural features,Una etiqueta OSM natural amb valor 'rock' utilitzada per descriure característiques natural,Una etiqueta OSM natural con valor 'rock' utilizada para describir características natural,242808,0.0,213520,0.0008,28544,0.0,744,0.0001,Yes,22
source,cidi;bing,source=cidi;bing,An OSM source tag with value 'cidi;bing' used to describe source features,Una etiqueta OSM source amb valor 'cidi;bing' utilitzada per descriure característiques source,Una etiqueta OSM source con valor 'cidi;bing' utilizada para describir características source,242738,0.0,45,0.0,242655,0.0002,38,0.0,No,0
shop,bakery,shop=bakery,An OSM shop tag with value 'bakery' used to describe shop features,Una etiqueta OSM shop amb valor 'bakery' utilitzada per descriure característiques shop,Una etiqueta OSM shop con valor 'bakery' utilizada para describir características shop,242202,0.0,211872,0.0008,30205,0.0,125,0.0,Yes,39
light:count,1,light:count=1,An OSM light:count tag with value '1' used to describe light:count features,Una etiqueta OSM light:count amb valor '1' utilitzada per descriure característiques light:count,Una etiqueta OSM light:count con valor '1' utilizada para describir características light:count,241594,0.0,241586,0.0009,8,0.0,0,0.0,No,1
addr:street,Советская улица,addr:street=Советская улица,An OSM addr:street tag with value 'Советская улица' used to describe addr:street features,Una etiqueta OSM addr:street amb valor 'Советская улица' utilitzada per descriure característiques addr:street,Una etiqueta OSM addr:street con valor 'Советская улица' utilizada para describir características addr:street,241575,0.0,4458,0.0,236592,0.0002,525,0.0,No,0
