key,value,definición
ewmapa:warstwa,"Przyziemie budynku ognioodpornego, podpory, podcienia z rastra","ewmapa:warstwa=Przyziemie budynku ognioodpornego, podpory, podcienia z rastra"
ewmapa:warstwa,Przyziemie lub obrys budynku,ewmapa:warstwa=Przyziemie lub obrys budynku
ewmapa:warstwa,Przyziemie_lub_obrys_budynku,ewmap:warstwa = Przyziemie_lub_obrys_budynku
exit,emergency,saída = emerxencia
expected_lwn_route_relations,3,relacións_da_ruta_esperada_de_lwn=3
expected_rcn_route_relations,3,relacións_da_ruta_agardadas_da_rcn=3
expected_rwn_route_relations,3,relacións_de_enrutamento_esperadas = *
expressway,no,Autoestrada = non
faculty,aerospace,profesorado = aeroespacial
faculty,engineering,facultade = Enxeñaría
farmland,arable,terra de cultivo = arable
farmland,field,terra de cultivo = campo
farmland,pasture,terra de cultivo = pastoreo
farmyard,stockyard,patio = cortello para o gando
fast_food,cafeteria,comida rápida = cafetería
fcode,45800,código f = *
fee,no,taxa = non
female,no,muller=ningunha
fence_type,barbed_wire,tipo_de_valla = arame_de_espiño
fence_type,bars,tipo_de_peche = barras
fence_type,chain_link,tipo_de_peche = elo na cadea
fence_type,concrete,tipo_valla = formigón
fence_type,metal,tipo pechado = metal
fence_type,pole,= polo
fence_type,railing,= barandilla
fence_type,split_rail,= carril_dividido
fence_type,wire,= cable
fence_type,wood,= madeira
ferry,*,transporte = *
ferry,no,transporte = non
ferry,primary,transporte = primario
ferry,secondary,transporte = secundario
ferry,tertiary,transporte = terciario
ferry,trunk,transporte = tronco
ferry,unclassified,transporte = desclasificado
fire_hydrant:description,*,boca_de_incendios:descrición = *
fire_hydrant:description,五角型開關,fire_hydrant:description=五角型開關
fire_hydrant:diameter,80,boca_de_incendios:diámetro = *
fire_hydrant:diameter,100,boca_de_incendios:diámetro = *
fire_hydrant:diameter,125,boca_de_incendios:diámetro = *
fire_hydrant:diameter,150,boca_de_incendios:diámetro = *
fire_hydrant:diameter,200,boca_de_incendios:diámetro = *
fire_hydrant:diameter,300,boca_de_incendios:diámetro=300
fire_hydrant:diameter,*,boca_de_incendios:diámetro = *
fire_hydrant:diameter,К-150,boca_de_incendios:diámetro=K-150
fire_hydrant:diameter:signed,no,boca_de_incendios:diámetro:asinado=ningún
fire_hydrant:position,green,boca_de_incendios:posición = verde
fire_hydrant:position,lane,boca_de_incendios:posición = carril
fire_hydrant:position,parking_lot,boca_de_incendios:posición = aparcadoiro
fire_hydrant:position,sidewalk,boca_de_incendios:posición = beirarrúa
fire_hydrant:pressure,4,boca_de_incendios:presión = *
fire_hydrant:pressure,5,boca_de_incendios:presión = *
fire_hydrant:type,pillar,boca_de_incendios:tipo = piar
fire_hydrant:type,pipe,boca de incendios:tipo = tubo
fire_hydrant:type,underground,boca_de_incendios:tipo = subterráneo
fire_hydrant:type,wall,boca de incendios:tipo = parede
fire_hydrant:type:zh,*,boca_de_incendios:tipo:zh = *
fire_hydrant:type:zh,地下式消防栓,fire_hydrant:type:zh=地下式消防栓
fishing,licence,licenza de pesca = licenza
fitness_station,sit-up,estación de fitness = exercicios abdominais
fixme,*,prepárate = *
fixme,à préciser dès que visible sur le cadastre,fixme=à préciser dès que visible na bandeira
flag:name,United States,de cadastro:bandeira=de
flag:type,advertising,bandeira:tipo = publicidade
flag:type,athletic,bandeira: tipo = atlética
flag:type,governmental,bandeira: tipo = gobernamental
flag:type,military,bandeira: tipo = militar
flag:type,municipal,bandeira: tipo = municipal
flag:type,national,bandeira:tipo = nacional
flag:type,organisation,bandeira: tipo = organización
flag:type,regional,bandeira: tipo = rexional
flag:type,religious,bandeira: tipo = relixiosa
flag:wikidata,Q42537,Estados Unidos de nome:wikidata=Q42537
flashing_lights,no,luces_cintilantes=non
floating,no,flotante=ningún
flood_mark,painting,marca de inundación = pintura
flood_mark,plaque,marca de inundación = placa
flood_prone,no,propenso a inundacións = non
floor:material,cement,chan: material = cemento
floor:material,wood,chan: material = madeira
flour_fortified,no,fariña enriquecida = non
flow_direction,both,dirección do fluxo = ambas
FMMP_modified,no,FMMP_modificado = non
FMMP_reviewed,no,FMMP_revisado = non
foldable_pie_slice,*,porción de bolo pregable = *
foot,customers,pé = clientes
foot,designated,pé = designado
foot,destination,pé = destino
foot,discouraged,pé = desanimado
foot,military,pé = militar
foot,no,pé = non
foot,no_@_(Mo-Su_18:00-07:00),pé = no_@_(luns-domingo_18:00-07:00)
foot,official,pé = oficial
foot,permissive,pé = permisivo
foot,permit,pé = permiso
foot,private,pé = privado
foot,unknown,pé = descoñecido
foot,use_sidepath,pé = usar_camiño_lateral
footway,access_aisle,ruta = acceso_a_corredor
footway,alley,camiño = beco
footway,both,camiño = ambas as cousas
footway,crossing,camiño = cruzamento
footway,left,camiño = esquerda
footway,link,ruta = Ligazón
footway,none,ruta = ningunha
footway,path,camiño = estrada
footway,right,camiño = dereita
footway,sidewalk,camiño = beirarrúa
footway,traffic_island,camiño = illa de tráfico
footway:surface,asphalt,beirarrúa:superficie = asfalto
footway:surface,paving_stones,beirarrúa:superficie = adoquíns
footway:surface,rock,beirarrúa:superficie = rocha
footway:surface,unpaved,beirarrúa: superficie = sen pavimentar
ford,boat,vado = barco
ford,stepping_stones,vado = escalóns
forklift,designated,máquina elevadora = designada
forklift,no,máquina elevadora = non
format,squared_stone,formato=xardín_de
fortification_type,hill_fort,tipo de fortificación = castro
fortification_type,limes,tipo de fortificación = limes
fortification_type,motte,tipo de fortificación = foso
fortification_type,ring_ditch,tipo de fortificación = foso circular
fortification_type,ringfort,tipo de fortificación = fortificación
fortification_type,sconce,tipo de fortificación = lámpada de araña de parede
fountain,bottle_refill,fonte = recheo de botella
fountain,bubbler,fonte = burbullador
fountain,drinking,fonte = Bebida
fountain,nasone,fonte = nasone
fountain,roman_wolf,fonte = lobo romano
fountain,stone_block,fonte = bloque de pedra
fountain,toret,fonte = torreta
fountain,viktorija_zdenac,fonte = Viktorija Zdenac
fountain,wallace,fonte = Wallace
frequency,0,frecuencia = *
frequency,50,frecuencia = *
frequency,60,frecuencia = *
frequency,16.67,frecuencia = *
frequency,16.7,frecuencia = *
garden:style,kitchen,óso cadrado: horta = moderno
garden:type,botanical,xardín:tipo = botánico
garden:type,community,:tipo=xardín
garden:type,landscaping,comunidade:tipo=paisaxismo
garden:type,monastery,xardín:tipo = mosteiro
garden:type,private,xardín:tipo = privado
garden:type,residential,xardín:tipo = Residencial
garmin_type,0x6,tipo_garmin = *
gate:type,double,porta: o tipo = dobre
gauge,1000,medida = *
gauge,1067,medida = *
gauge,1435,medida = *
gauge,1520,medida = *
gauge,1524,medida = *
gauge,1600,medida = *
gauge,1668,medida = *
gauge,1676,medida = *
gbfs:system_id,hellocycling,gbfs:id_do_sistema=olaciclismo
generator:method,anaerobic_digestion,xerador:método = dixestión anaeróbica
generator:method,barrage,xerador:método = bombardeo
generator:method,combustion,xerador:método = combustión
generator:method,fission,xerador:método = fisión
generator:method,fusion,xerador:método = fusión
generator:method,gasification,xerador:método = gasificación
generator:method,photovoltaic,xerador:método = fotovoltaico
generator:method,run-of-the-river,xerador:método = corrente do río
generator:method,stream,xerador:método = corrente
generator:method,thermal,xerador:método = térmico
generator:method,water-pumped-storage,xerador:método = almacenamento de bombeo de auga
generator:method,water-storage,xerador:método = almacenamento de auga
generator:method,wind_turbine,xerador:método = aeroxerador
generator:output:electricity,1.5 MW,"xerador: saída: electricidade = 1,5 MW"
generator:output:electricity,1.5_MW,xerador:saída:electricidade = *
generator:output:electricity,2 MW,xerador: saída: electricidade = 2 MW
generator:output:electricity,2_MW,xerador:saída:electricidade = *
generator:output:electricity,2.3 MW,"xerador: saída: electricidade = 2,3 MW"
generator:output:electricity,2.3_MW,xerador:saída:electricidade = *
generator:output:electricity,small_installation,xerador:saída:electricidade = pequena_instalación
generator:place,roof,xerador:lugar = tellado
generator:plant,intermediate,xerador:planta = intermedio
generator:plant,output,xerador:planta = produción
generator:solar:modules,4,xerador:solar:módulos=4
generator:solar:modules,6,xerador solar:módulos = *
generator:solar:modules,8,xerador solar:módulos = *
generator:solar:modules,10,xerador solar:módulos = *
generator:solar:modules,12,xerador solar:módulos = *
generator:solar:modules,14,xerador:solar:módulos=14
generator:solar:modules,16,xerador solar:módulos = *
generator:solar:tracking,no,xerador:solar:seguindo=ningún
generator:solar:tracking,single_axis,xerador:solar:seguindo=só_axial
generator:source,battery,xerador:fonte = batería
generator:source,biofuel,xerador:fonte = biocombustible
generator:source,biogas,xerador:fonte = biogás
generator:source,biomass,xerador:fonte = biomasa
generator:source,coal,xerador:fonte = carbón
generator:source,diesel,xerador:fonte = diésel
generator:source,electricity,xerador: fonte = electricidade
generator:source,gas,xerador:fonte = gas
generator:source,gasoline,xerador:fonte = gasolina
generator:source,geothermal,xerador:fonte = xeotérmica
generator:source,hydro,xerador:fonte = hidroeléctrica
generator:source,nuclear,xerador:fonte = nuclear
generator:source,oil,xerador:fonte = aceite
generator:source,osmotic,xerador:fonte = osmótico
generator:source,solar,xerador:fonte = solar
generator:source,tidal,xerador:fonte = marea
generator:source,waste,xerador:fonte = residuos
generator:source,wave,xerador:fonte = onda
generator:source,wind,xerador:fonte = vento
generator:type,boiler,xerador:tipo = caldeira
generator:type,combined_cycle,xerador:tipo = ciclo combinado
generator:type,francis_turbine,xerador:tipo = turbina Francis
generator:type,gas_turbine,xerador: tipo = turbina de gas
generator:type,heat_pump,xerador: tipo = bomba de calor
generator:type,horizontal_axis,xerador:tipo = eixo horizontal
generator:type,hydrodynamic_screw,xerador: tipo = parafuso hidrodinámico
generator:type,kaplan_turbine,xerador: tipo = turbina Kaplan
generator:type,pelton_turbine,xerador: tipo = turbina Pelton
generator:type,reciprocating_engine,xerador: tipo = motor alternativo
generator:type,solar_photovoltaic_panel,xerador:tipo = panel_solar_fotovoltaico
generator:type,solar_thermal_collector,xerador:tipo = colector_solar_térmico
generator:type,steam_generator,xerador:tipo = xerador de vapor
generator:type,steam_turbine,xerador: tipo = turbina de vapor
generator:type,vertical_axis,xerador: tipo = eixo vertical
generator:type,zuppinger_water_wheel,xerador: tipo = roda hidráulica zuppinger
genus,Abies,xénero = Abies
genus,Acacia,xénero = Acacia
genus,Acer,xénero = arce
genus,Adansonia,xénero = Adansonia
genus,Aesculus,xénero = escúlico
genus,Ailanthus,xénero = Ailanthus
genus,Alnus,xénero = Alnus
genus,Amelanchier,xénero = Amelanchier
genus,Ananas,xénero = Piña
genus,Arbre_Sandaré,xénero = Árbore de sándalo
genus,Areca,xénero = Areca
genus,Arecaceae,xénero = arecaceae
genus,Betula,xénero = Betula
genus,Camellia,xénero = Camellia
genus,Carica,xénero = caricatura
genus,Carpinus,xénero = Carpino
genus,Castanea,xénero = Castanea
genus,Catalpa,xénero = Catalpa
genus,Cedrus,xénero = cedro
genus,Celtis,xénero = celta
genus,Cerasus,xénero = Cerasus
genus,Cercis,xénero = cercis
genus,Chamaecyparis,xénero = Chamaecyparis
genus,Citrus,xénero = Cítricos
genus,Cocos,xénero = Cocos
genus,Coffea,xénero = Café
genus,Corylus,xénero = corilo
genus,Crataegus,xénero = Crataegus
genus,Cupressus,xénero = ciprés
genus,Elaeis,xénero = Elaeis
genus,Eucalyptus,xénero = Eucalipto
genus,Fagus,xénero = Fagus
genus,Ficus,xénero = ficus
genus,Fraxinus,xénero = Fraxino
genus,Ginkgo,xénero = Ginkgo
genus,Gleditsia,xénero = gleditsia
genus,Hevea,xénero = hevea
genus,Humulus,xénero = húmulo
genus,Hylocereus,xénero = Hylocereus
genus,Juglans,xénero = Juglans
genus,Koelreuteria,xénero = Koelreuteria
genus,Lagerstroemia,xénero = lagerstroemia
genus,Larix,xénero = larix
genus,Ligustrum,xénero = ligustro
genus,Liquidambar,xénero = Liquidámbar
genus,Liriodendron,xénero = liriodendro
genus,Macadamia,xénero = macadamia
genus,Magnolia,xénero = Magnolia
genus,Malus,xénero = Malus
genus,Mangifera,xénero = Mangifera
genus,Morus,xénero = Morus
genus,Musa,xénero = musa
genus,Olea,xénero = Olea
genus,Opuntia,xénero = Opuntia
genus,Ostrya,xénero = Ostrya
genus,palm,xénero = palmeira
genus,Paulownia,xénero = Paulownia
genus,Persea,xénero = persea
genus,Phoenix,xénero = Fénix
genus,Picea,xénero = abeto
genus,Pinus,xénero = piñeiro
genus,Platanus,xénero = Platanus
genus,Populus,xénero = pobo
genus,Prunus,xénero = aceda pasa
genus,Pseudotsuga,xénero = pseudotsuga
genus,Pyrus,xénero = Piro
genus,Quercus,xénero = quercus
genus,Robinia,xénero = robinia
genus,Salix,xénero = Salix
genus,Schinus,xénero = Esquinus
genus,Sophora,xénero = Sophora
genus,Sorbus,xénero = grolo
genus,Styphnolobium,xénero = Styphnolobium
genus,Syringa,xénero = xiringa
genus,Taxus,xénero = Taxus
genus,Thuja,xénero = teu
genus,Tilia,xénero = tilia
genus,Trachycarpus,xénero = traquicarpo
genus,Ulmus,xénero = Ulmus
genus,unknown,xénero = descoñecido
genus,Vaccinium,xénero = vaccinium
genus,Vachellia,xénero = Vachelia
genus,Washingtonia,xénero = Washingtonia
genus,Zelkova,xénero = Zelkova
genus:de,Ahorn,xénero:de=Ahorn
genus:de,Birke,xénero:de=Birke
genus:de,Eiche,xénero:de=Eiche
genus:de,Esche,xénero:de=Esche
genus:de,Hainbuche,xénero:de=Hainbuche
genus:de,Linde,xénero:de = Linde
genus:de,Platane,xénero:de=Platano
genus:de,Rosskastanie,xénero:de = Rosskastanie
genus:en,Ash,xénero: es = Cinza
genus:en,Linden,xénero: es = Linden
genus:en,Locust,xénero: es = Lagosta
genus:en,Maple,xénero: es = Arce
genus:en,Oak,xénero:en=Carballo
genus:en,Spruce,xénero: es = abeto
genus:wikidata,Q127849,xénero:wikidata=Q127849
genus:wikidata,Q42292,xénero:wikidata=Q42292
geobase:acquisitionTechnique,GPS,xeobase: técnica de adquisición = GPS
geobase:acquisitionTechnique,Orthoimage,xeobase:técnicaDeAdquisición=Ortoimaxe
geobase:acquisitionTechnique,Vector Data,xeobase:técnicaDeAdquisición=Datos Vectoriais
geobase:datasetName,NRN:British Columbia,geobase:datasetName=NRN:Columbia Británica
GeoBaseNHN:DatasetName,02LG000,GeoBaseNHN:Nome do conxunto de datos = *
GeoBaseNHN:DatasetName,02LH000,GeoBaseNHN:Nome do conxunto de datos = *
GeoBaseNHN:PROVIDER,federal,GeoBaseNHN:PROVEEDOR = federal
GeoBaseNHN:VALDATE,1990,GeoBaseNHN:VALIDO = *
geocodigo,*,xeocódigo = *
geological,fault,falla xeolóxica = falla
geological,moraine,xeolóxico = morena
geological,outcrop,xeolóxico = afloramento
geological,palaeontological_site,xeolóxico = sitio paleontolóxico
geological,volcanic_caldera,xeolóxico = caldeira volcánica
geological,volcanic_caldera_rim,xeolóxico = bordo da caldeira volcánica
geological,volcanic_geyser,xeolóxico = géiser volcánico
geological,volcanic_lava_channel,xeolóxico = canle de lava volcánica
geological,volcanic_lava_field,xeolóxico = campo de lava volcánica
geological,volcanic_lava_tube,xeolóxico = tubo de lava volcánica
geological,volcanic_vent,xeolóxico = cheminea volcánica
geometry:reviewed,no,xeometría:revisada=ningunha
glacier:part,moraine,glaciar: parte = morena
glacier:type,mountain,glaciar:tipo = montaña
gnis:fcode,33600,gnis:fcode=33600
gnis:ftype,ArtificialPath,gnis:ftype=RutaArtificial
gnis:ftype,CanalDitch,gnis:ftype=GabiaDoCanal
gnis:ftype,LakePond,gnis:ftype=LagoEstanque
gnis:ftype,StreamRiver,gnis:ftype=RíoArroio
gnis:state_id,55,gnis:estado_id = *
gns:dsg,MT,gns:dsg = MONTAÑA
GNS:dsg_code,PPL,GNS: código_dsg = LPP
GNS:dsg_code,WAD,GNS: código_dsg = TACO
GNS:dsg_name,populated place,GNS:dsg_name=sitio poboado
GNS:dsg_name,populated_place,GNS:dsg_name = lugar_poboado
GNS:dsg_name,wadi,GNS:dsg_name = canle
GNS:dsg_string,populated place,GNS:dsg_series=sitio poboado
GNS:dsg_string,populated_place,GNS:dsg_string = lugar_poboado
golf,bunker,golf = búnker
golf,cartpath,golf = pista de carros
golf,clubhouse,golf = casa club
golf,driving_range,golf = zona de condución
golf,fairway,golf = rúa
golf,green,golf = verde
golf,hole,golf = burato
golf,lateral_water_hazard,golf = risco_lateral_da_auga
golf,path,golf = pista
golf,penalty_area,golf = área de penalti
golf,pin,golf = alfinete
golf,rough,golf = bruto
golf,tee,golf = tee
golf,water_hazard,golf = obstáculo de auga
golf_cart,designated,carriño de golf = designado
goods,no,mercadorías = non
government,administrative,goberno = administrativo
government,aerospace,goberno = aeroespacial
government,agriculture,goberno = agricultura (consello regulador)
government,archive,goberno = arquivo
government,audit,goberno = auditoría
government,bailiff,goberno = sheriff
government,border_control,goberno = control de fronteiras
government,cadaster,goberno = rexistro da propiedade
government,chamber,goberno = cámara
government,culture,goberno = cultura
government,customs,goberno = aduanas
government,data_protection,goberno = protección de datos
government,education,goberno = educación
government,healthcare,goberno = saúde
government,heritage,goberno = patrimonio
government,it,goberno = iso
government,legislative,goberno = lexislativo
government,ministry,goberno = ministerio
government,parliament,goberno = parlamento
government,prosecutor,goberno = fiscal
government,register_office,goberno = oficina de rexistro
government,statistics,goberno = Estatísticas
government,tax,goberno = imposto
government,youth_welfare_department,goberno = departamento de benestar xuvenil
grass,amenity_grassland,herba = pastos
grit_bin,*,recipiente de area = *
gritting,priority_1,area = Prioridade 1
gtfs_location_type,0,gtfs_localización_tipo = *
guest_house,bed_and_breakfast,Pensión = aloxamento e almorzo
guidepost,hiking,sinalización = sendeirismo
guidepost,simple,sinalización = simple
gutter,no,canle = non
handle,crank,manivela = manivela
handle,lever,manivela = palanca
handle,wheel,mango = roda
handrail,no,parapeto = non
harbour,marina,porto = porto pequeno
harbour:category,bulk,porto:categoría = paquete
harbour:category,container,porto:categoría = contedor
harbour:category,ferry,porto:categoría = transporte
harbour:category,fishing,porto:categoría = pesca
harbour:category,general,porto:categoría = xeral
harbour:category,industrial,porto:categoría = industrial
harbour:category,marina,porto:categoría = porto pequeno
harbour:category,military,porto:categoría = militar
harbour:category,oil_platform,porto:categoría = plataforma petrolífera
harbour:category,passenger,porto:categoría = pasaxeiro
harbour:category,RoRo,porto:categoría = roll-on/roll-off
harbour:category,seaport,porto:categoría = porto marítimo
harbour:category,shipyard,porto:categoría = estaleiro
harbour:category,tanker,porto:categoría = petroleiro
harbour:category,tourism,porto:categoría = turismo
harbour:category,yacht,porto:categoría = iate
hazard,animal_crossing,Perigo = cruce de animais
hazard,archery_range,perigo = campo de tiro con arco
hazard,avalanche,perigo = avalancha
hazard,biohazard,perigo = risco biolóxico
hazard,bump,perigo = volume
hazard,children,Perigo = nenos
hazard,contamination,Perigo = contaminación
hazard,curve,perigo = curva
hazard,curves,perigo = curvas
hazard,cyclists,perigo = ciclistas
hazard,damaged_road,Perigo = Estrada danada
hazard,dangerous_junction,perigo = paso perigoso
hazard,dip,perigo = salsa
hazard,electricity,Perigo = electricidade
hazard,emergency_vehicles,perigo = vehículos de emerxencia
hazard,falling_rocks,Perigo = caída de rochas
hazard,fog,perigo = néboa
hazard,frail_pedestrians,perigo = peóns vulnerables
hazard,frost_heave,perigo = atracción de xeadas
hazard,ground_clearance,perigo = claridade do chan
hazard,hole,perigo = burato
hazard,horse_riders,perigo = xinetes
hazard,ice,perigo = xeo
hazard,illegal_crossing,Perigo = cruce ilegal
hazard,landslide,perigo = deslizamento de terra
hazard,leeches,perigo = samesugas
hazard,loose_gravel,Perigo = grava solta
hazard,low_flying_aircraft,Perigo = avión de voo baixo
hazard,minefield,perigo = campo de minas
hazard,nuclear,perigo = nuclear
hazard,pedestrians,perigo = peóns
hazard,queues_likely,perigo = probables colas
hazard,quicksand,perigo = area movediza
hazard,road_narrows,Perigo = Estrada estreita
hazard,roadworks,perigo = obras na estrada
hazard,roundabout,perigo = rotonda
hazard,school_zone,Perigo = Zona escolar
hazard,shooting_range,perigo = campo de tiro
hazard,side_winds,perigo = ventos cruzados
hazard,slippery,perigo = escorregadizo
hazard,traffic_signals,Perigo = Sinais de tráfico
hazard,turn,perigo = xiro
hazard,turns,perigo = xiros
hazard,unexploded_ordnance,Perigo = munición sen explotar
hazard,washout,perigo = lavado
hazard_type,avalanche,tipo de perigo = avalancha
hazard_type,flood,tipo de perigo = inundación
hazard_type,landslide,tipo de perigo = deslizamento de terra
hazmat,designated,materiais perigosos = designados
hazmat,no,materiais perigosos = non
hazmat:water,permissive,Materiais perigosos: auga = permisivo
hcpaogis:dorcode,01 - SINGLE FAMILY,hcpaogis:dorcode=01 - dimensión FAMILIAR
hcpaogis:dorcode,01_-_SINGLE_FAMILY,hcpaogis:dorcode = *
headlight,required,faro = obrigatorio
health_facility:MG,CHRD,centro de saúde: MG = CRD
health_facility:MG,CHRR,centro de saúde: MG = CHRR
health_facility:MG,CHU,centro de saúde: MG = CHU
health_facility:MG,CSB1,centro de saúde: MG = CSB1
health_facility:MG,CSB2,centro de saúde: MG = CSB2
health_facility:type,office,centro sanitario:tipo = oficina
healthcare,alternative,asistencia sanitaria = alternativa
healthcare,audiologist,saúde = audiólogo
healthcare,birthing_center,atención sanitaria = centro de maternidade
healthcare,birthing_centre,atención sanitaria = centro de maternidade
healthcare,blood_bank,asistencia sanitaria = Banco de sangue
healthcare,blood_donation,asistencia sanitaria = doazón de sangue
healthcare,centre,atención sanitaria = centro
healthcare,clinic,atención sanitaria = clínica
healthcare,community_health_worker,atención sanitaria = traballador/a sanitario/a comunitario/a
healthcare,counselling,atención sanitaria = asesoramento
healthcare,dentist,atención sanitaria = dentista
healthcare,dialysis,atención sanitaria = diálise
healthcare,doctor,atención sanitaria = médico
healthcare,health_post,atención sanitaria = posto de saúde
healthcare,hospice,coidados sanitarios = hospicio
healthcare,hospital,atención sanitaria = hospital
healthcare,laboratory,atención sanitaria = laboratorio
healthcare,medical_imaging,saúde = imaxe médica
healthcare,midwife,asistencia sanitaria = matrona
healthcare,nurse,atención sanitaria = enfermeira
healthcare,nutrition_counseling,atención sanitaria = asesoramento nutricional
healthcare,nutrition_counselling,atención sanitaria = asesoramento nutricional
healthcare,occupational_therapist,atención sanitaria = terapeuta ocupacional
healthcare,optometrist,saúde = optometrista
healthcare,pharmacy,asistencia sanitaria = farmacia
healthcare,physiotherapist,saúde = fisioterapeuta
healthcare,podiatrist,atención sanitaria = podólogo
healthcare,psychotherapist,atención sanitaria = psicoterapeuta (psicólogo)
healthcare,rehabilitation,atención sanitaria = rehabilitación
healthcare,sample_collection,asistencia sanitaria = recollida de mostras
healthcare,speech_therapist,atención sanitaria = logopeda
healthcare,vaccination_centre,atención sanitaria = centro de vacinación
healthcare:speciality,abortion,saúde:especialidade = aborto
healthcare:speciality,acupuncture,especialidade: saúde = acupuntura
healthcare:speciality,allergology,saúde:especialidade = alergoloxía
healthcare:speciality,anaesthetics,atención sanitaria:especialidade = anestésicos
healthcare:speciality,ayurveda,especialidade: saúde = Ayurveda
healthcare:speciality,behavior,saúde:especialidade = comportamento
healthcare:speciality,biochemistry,saúde:especialidade = bioquímica
healthcare:speciality,biological_haematology,saúde:especialidade = hematoloxía biolóxica
healthcare:speciality,biology,saúde:especialidade = bioloxía
healthcare:speciality,blood_check,saúde:especialidade = análise de sangue
healthcare:speciality,body,saúde:especialidade = corpo
healthcare:speciality,cardiac_surgery,atención sanitaria:especialidade = cirurxía cardíaca
healthcare:speciality,cardiology,saúde:especialidade = cardioloxía
healthcare:speciality,cardiothoracic_surgery,saúde:especialidade = cirurxía cardiotorácica
healthcare:speciality,child_psychiatry,saúde:especialidade = psiquiatría infantil
healthcare:speciality,chiropractic,saúde:especialidade = quiropraxia
healthcare:speciality,clinic,especialidade: saúde = clínica
healthcare:speciality,clinical_pathology,saúde:especialidade = patoloxía clínica
healthcare:speciality,community,saúde:especialidade = comunidade
healthcare:speciality,covid19,especialidade: saúde = COVID-19
healthcare:speciality,dental_oral_maxillo_facial_surgery,saúde:especialidade = cirurxía dental maxilofacial
healthcare:speciality,dentist,saúde:especialidade = dentista
healthcare:speciality,dentist;orthodontics,especialidade: saúde = dentista; ortodoncia
healthcare:speciality,dentistry,especialidade: saúde = odontoloxía
healthcare:speciality,depth,saúde:especialidade = profundidade
healthcare:speciality,dermatology,saúde:especialidade = dermatoloxía
healthcare:speciality,dermatovenereology,saúde:especialidade = dermatovenereoloxía
healthcare:speciality,diagnostic_radiology,atención sanitaria:especialidade = radioloxía diagnóstica
healthcare:speciality,dialysis,especialidade: saúde = diálise
healthcare:speciality,dietitian,especialidade: saúde = dietista
healthcare:speciality,emergency,saúde:especialidade = emerxencia
healthcare:speciality,endocrinology,saúde:especialidade = endocrinoloxía
healthcare:speciality,family_medicine,especialidade:de_saúde = Medicina Familiar
healthcare:speciality,fertility,saúde:especialidade = Fertilidade
healthcare:speciality,gastroenterological_surgery,saúde:especialidade = cirurxía gastroenterolóxica
healthcare:speciality,gastroenterology,saúde:especialidade = gastroenteroloxía
healthcare:speciality,general,saúde:especialidade = xeral
healthcare:speciality,geriatrics,atención sanitaria:especialidade = xeriatría
healthcare:speciality,gynaecology,saúde:especialidade = xinecoloxía
healthcare:speciality,haematology,saúde:especialidade = hematoloxía
healthcare:speciality,hepatology,saúde:especialidade = hepatoloxía
healthcare:speciality,homeopathy,especialidade: saúde = homeopatía
healthcare:speciality,humanistic,atención sanitaria:especialidade = humanista
healthcare:speciality,immunology,saúde:especialidade = inmunoloxía
healthcare:speciality,implantology,especialidade: saúde = implantoloxía
healthcare:speciality,infectious_diseases,atención sanitaria:especialidade = enfermidades infecciosas
healthcare:speciality,intensive,atención sanitaria:especialidade = intensivo
healthcare:speciality,internal,saúde:especialidade = interno/a
healthcare:speciality,kinesitherapy,especialidade: saúde = kinesioterapia
healthcare:speciality,massage_therapy,especialidade: saúde = Masaxe terapéutica
healthcare:speciality,maternity,especialidade: saúde = maternidade
healthcare:speciality,maxillofacial_surgery,saúde:especialidade = cirurxía maxilofacial
healthcare:speciality,medical_examination,saúde:especialidade = revisión médica
healthcare:speciality,microbiology,saúde:especialidade = microbioloxía
healthcare:speciality,naturopathy,especialidade: saúde = naturopatía
healthcare:speciality,neonatology,saúde:especialidade = neonatoloxía
healthcare:speciality,nephrology,saúde:especialidade = nefroloxía
healthcare:speciality,neurology,saúde:especialidade = neuroloxía
healthcare:speciality,neurophysiology,saúde:especialidade = neurofisioloxía
healthcare:speciality,neuropsychiatry,saúde:especialidade = neuropsiquiatría
healthcare:speciality,neurosurgery,saúde:especialidade = neurocirurxía
healthcare:speciality,nuclear,saúde:especialidade = nuclear
healthcare:speciality,occupational,saúde:especialidade = ocupacional
healthcare:speciality,oncology,saúde:especialidade = oncoloxía
healthcare:speciality,ophthalmology,saúde:especialidade = oftalmoloxía
healthcare:speciality,optometry,especialidade: saúde = optometría
healthcare:speciality,orthodontics,saúde:especialidade = ortodoncia
healthcare:speciality,orthopaedics,saúde:especialidade = ortopedia
healthcare:speciality,osteopathy,saúde:especialidade = osteópata
healthcare:speciality,otolaryngology,saúde:especialidade = otorrinolaringoloxía
healthcare:speciality,otorhinolaryngology,especialidade: saúde = otorrinolaringoloxía
healthcare:speciality,paediatric_surgery,atención sanitaria:especialidade = cirurxía pediátrica
healthcare:speciality,paediatrics,saúde:especialidade = pediatría
healthcare:speciality,palliative,atención sanitaria:especialidade = paliativo
healthcare:speciality,pathology,saúde:especialidade = patoloxía
healthcare:speciality,pharmacology,saúde:especialidade = farmacoloxía
healthcare:speciality,physiatry,saúde:especialidade = fisiatría
healthcare:speciality,physiotherapy,especialidade: saúde = fisioterapia
healthcare:speciality,plastic_surgery,saúde:especialidade = cirurxía plástica
healthcare:speciality,podiatry,saúde:especialidade = podoloxía
