key,value,définition
genus,Syringa,genre = Syringa
genus,Taxus,genre=Taxus
genus,Thuja,genre=Thuja
genus,Tilia,genre = Tilia
genus,Trachycarpus,genre = Trachycarpus
genus,Ulmus,genre=Ulmus
genus,unknown,genre inconnu
genus,Vaccinium,genre = Vaccinium
genus,Vachellia,genre = Vachellia
genus,Washingtonia,genre = Washingtonia
genus,Zelkova,genre=Zelkova
genus:de,Ahorn,genre:de=Ahorn
genus:de,Birke,genre:de=Birke
genus:de,Eiche,genre:de=Eiche
genus:de,Esche,genre:de=Esche
genus:de,Hainbuche,genre:de=Hainbuche
genus:de,Linde,genre:de=Linde
genus:de,Platane,genre : de=Platan
genus:de,Rosskastanie,genre:de=Rosskastanie
genus:en,Ash,genre : en=Ash
genus:en,Linden,genre:en=Linden
genus:en,Locust,genre:en=Locust
genus:en,Maple,genre:en=Érable
genus:en,Oak,genre : en=Chêne
genus:en,Spruce,genre:en=Épicéa
genus:wikidata,Q127849,genre:wikidata=Q127849
genus:wikidata,Q42292,genre:wikidata=Q42292
geobase:acquisitionTechnique,GPS,geobase:technique d'acquisition=GPS
geobase:acquisitionTechnique,Orthoimage,geobase:technique d'acquisition=Orthoimage
geobase:acquisitionTechnique,Vector Data,geobase:technique d'acquisition=Données vectorielles
geobase:datasetName,NRN:British Columbia,geobase:datasetName=NRN:Colombie-Britannique
GeoBaseNHN:DatasetName,02LG000,GeoBaseNHN:DatasetName=02LG000
GeoBaseNHN:DatasetName,02LH000,GeoBaseNHN:DatasetName=02LH000
GeoBaseNHN:PROVIDER,federal,GeoBaseNHN:FOURNISSEUR=fédéral
GeoBaseNHN:VALDATE,1990,GeoBaseNHN:VALDATE=1990
geocodigo,*,géocodigo=*
geological,fault,géologique = faille
geological,moraine,géologique = moraine
geological,outcrop,géologique = affleurement
geological,palaeontological_site,site géologique=paléontologique
geological,volcanic_caldera,géologique=caldeira_volcanique
geological,volcanic_caldera_rim,géologique=bord de caldeira volcanique
geological,volcanic_geyser,géologique=geyser_volcanique
geological,volcanic_lava_channel,géologique=chenal de lave volcanique
geological,volcanic_lava_field,géologique=champ_de_lave_volcanique
geological,volcanic_lava_tube,géologique=tube de lave volcanique
geological,volcanic_vent,géologique=évent_volcanique
geometry:reviewed,no,géométrie:revu=non
glacier:part,moraine,glacier:partie=moraine
glacier:type,mountain,glacier:type=montagne
gnis:fcode,33600,gnis:fcode=33600
gnis:ftype,ArtificialPath,gnis:ftype=CheminArtificiel
gnis:ftype,CanalDitch,gnis:ftype=CanalDitch
gnis:ftype,LakePond,gnis:ftype=Étang du lac
gnis:ftype,StreamRiver,gnis:ftype=StreamRiver
gnis:state_id,55,gnis:state_id=55
gns:dsg,MT,gns:dsg=MT
GNS:dsg_code,PPL,GNS:dsg_code=PPL
GNS:dsg_code,WAD,GNS:dsg_code=WAD
GNS:dsg_name,populated place,GNS:dsg_name=lieu habité
GNS:dsg_name,populated␣place,GNS:dsg_name= place ␣ peuplée
GNS:dsg_name,wadi,GNS:dsg_name=wadi
GNS:dsg_string,populated place,GNS:dsg_string=lieu habité
GNS:dsg_string,populated␣place,GNS:dsg_string= place ␣ peuplée
golf,bunker,golf = bunker
golf,cartpath,golf=chemin de voiturette
golf,clubhouse,golf = club-house
golf,driving_range,golf=pratique_de_conduite
golf,fairway,golf = fairway
golf,green,golf=vert
golf,hole,golf = trou
golf,lateral_water_hazard,golf=danger_latéral_d'eau
golf,path,golf=chemin
golf,penalty_area,golf=zone_de_pénalité
golf,pin,golf=pin
golf,rough,golf = rude
golf,tee,golf=tee
golf,water_hazard,golf=danger_d'eau
golf_cart,designated,voiturette de golf=désignée
goods,no,marchandises=non
government,administrative,gouvernement = administratif
government,aerospace,gouvernement = aérospatiale
government,agriculture,gouvernement = agriculture
government,archive,gouvernement = archives
government,audit,gouvernement = audit
government,bailiff,gouvernement = huissier
government,border_control,gouvernement=contrôle_des_frontières
government,cadaster,gouvernement = cadastre
government,chamber,gouvernement = chambre
government,culture,gouvernement = culture
government,customs,gouvernement = douanes
government,data_protection,gouvernement=protection_des_données
government,education,gouvernement = éducation
government,healthcare,gouvernement = soins de santé
government,heritage,gouvernement = patrimoine
government,it,gouvernement=il
government,legislative,gouvernement = législatif
government,ministry,gouvernement = ministère
government,parliament,gouvernement = parlement
government,prosecutor,gouvernement = procureur
government,register_office,gouvernement=bureau_d'enregistrement
government,statistics,gouvernement = statistiques
government,tax,gouvernement = impôts
government,youth_welfare_department,gouvernement=département_de_protection_de_la_jeunesse
grass,amenity_grassland,herbe=herbe d'agrément
grit_bin,*,grit_bin=*
gritting,priority_1,grésillage=priorité_1
gtfs_location_type,0,gtfs_location_type=0
guest_house,bed_and_breakfast,maison d'hôtes = chambre d'hôtes
guidepost,hiking,panneau indicateur = randonnée
guidepost,simple,guidepost=simple
gutter,no,gouttière=non
handle,crank,poignée = manivelle
handle,lever,poignée = levier
handle,wheel,poignée=roue
handrail,no,main courante = non
harbour,marina,port = marina
harbour:category,bulk,port:catégorie=vrac
harbour:category,container,port:catégorie=conteneur
harbour:category,ferry,port:catégorie=ferry
harbour:category,fishing,port:catégorie=pêche
harbour:category,general,port:catégorie=général
harbour:category,industrial,port : catégorie = industriel
harbour:category,marina,port:catégorie=marina
harbour:category,military,port:catégorie=militaire
harbour:category,oil_platform,port:catégorie=plateforme_pétrolière
harbour:category,passenger,port:catégorie=passager
harbour:category,RoRo,port:catégorie=RoRo
harbour:category,seaport,port:catégorie=port maritime
harbour:category,shipyard,port:catégorie=chantier naval
harbour:category,tanker,port:catégorie=pétrolier
harbour:category,tourism,port:catégorie=tourisme
harbour:category,yacht,port:catégorie=yacht
hazard,animal_crossing,danger=passage_animal
hazard,archery_range,danger=champ_de_tir_à_l'arc
hazard,avalanche,danger = avalanche
hazard,biohazard,danger = risque biologique
hazard,bump,danger = bosse
hazard,children,danger = enfants
hazard,contamination,danger = contamination
hazard,curve,danger = courbe
hazard,curves,aléa = courbes
hazard,cyclists,danger = cyclistes
hazard,damaged_road,danger=route_endommagée
hazard,dangerous_junction,danger=jonction_dangereuse
hazard,dip,danger=dip
hazard,electricity,danger = électricité
hazard,emergency_vehicles,danger=véhicules_d'urgence
hazard,falling_rocks,danger=chutes_de_roches
hazard,fog,danger = brouillard
hazard,frail_pedestrians,danger=piétons_fragiles
hazard,frost_heave,danger=soulèvement dû au gel
hazard,ground_clearance,danger=garde au sol
hazard,hole,danger = trou
hazard,horse_riders,danger=cavaliers
hazard,ice,danger = glace
hazard,illegal_crossing,danger=passage_illégal
hazard,landslide,danger = glissement de terrain
hazard,leeches,danger = sangsues
hazard,loose_gravel,danger=gravier meuble
hazard,low_flying_aircraft,danger=avion_volant_à_basse_
hazard,minefield,danger = champ de mines
hazard,nuclear,danger = nucléaire
hazard,pedestrians,danger = piétons
hazard,queues_likely,risque=files d'attente_probables
hazard,quicksand,danger = sables mouvants
hazard,road_narrows,danger=rapprochement_de_route
hazard,roadworks,danger = travaux routiers
hazard,roundabout,danger = rond-point
hazard,school_zone,danger=zone_scolaire
hazard,shooting_range,danger=champ de tir
hazard,side_winds,danger=vents latéraux
hazard,slippery,danger = glissant
hazard,traffic_signals,danger=feux_de_circulation
hazard,turn,danger = tour
hazard,turns,danger = virages
hazard,unexploded_ordnance,danger=munitions non explosées
hazard,washout,danger = ruissellement
hazard_type,avalanche,type_danger=avalanche
hazard_type,flood,type_danger=inondation
hazard_type,landslide,type de risque = glissement de terrain
hazmat,designated,matières dangereuses = désignées
hazmat,no,matières dangereuses = non
hazmat:water,permissive,matières dangereuses : eau = permissive
hcpaogis:dorcode,01 - SINGLE FAMILY,hcpaogis:dorcode=01 - MAISON INDIVIDUELLE
hcpaogis:dorcode,01␣-␣SINGLE␣FAMILY,hcpaogis:dorcode=01 ␣ - ␣ CÉLIBATAIRE ␣ FAMILLE
headlight,required,phare = requis
health_facility:MG,CHRD,établissement de santé :MG=CHRD
health_facility:MG,CHRR,établissement de santé :MG=CHRR
health_facility:MG,CHU,établissement de santé :MG=CHU
health_facility:MG,CSB1,établissement de santé :MG=CSB1
health_facility:MG,CSB2,établissement de santé :MG=CSB2
health_facility:type,office,établissement de santé:type=bureau
healthcare,alternative,soins de santé = alternatif
healthcare,audiologist,soins de santé = audiologiste
healthcare,birthing_center,soins de santé=centre_de_naissance
healthcare,birthing_centre,soins de santé=centre_de_naissance
healthcare,blood_bank,soins de santé = banque de sang
healthcare,blood_donation,soins de santé=don_de_sang
healthcare,centre,centre de santé
healthcare,clinic,soins de santé = clinique
healthcare,community_health_worker,soins de santé=travailleur_de_santé_communautaire
healthcare,counselling,soins de santé = conseil
healthcare,dentist,soins de santé = dentiste
healthcare,dialysis,soins de santé = dialyse
healthcare,doctor,soins de santé = médecin
healthcare,health_post,soins de santé=post_de_santé
healthcare,hospice,soins de santé = soins palliatifs
healthcare,hospital,soins de santé = hôpital
healthcare,laboratory,soins de santé = laboratoire
healthcare,medical_imaging,soins de santé = imagerie médicale
healthcare,midwife,soins de santé = sage-femme
healthcare,nurse,soins de santé = infirmière
healthcare,nutrition_counseling,soins de santé = conseils en nutrition
healthcare,nutrition_counselling,soins de santé = conseils en nutrition
healthcare,occupational_therapist,soins de santé=ergothérapeute
healthcare,optometrist,soins de santé = optométriste
healthcare,pharmacy,soins de santé = pharmacie
healthcare,physiotherapist,soins de santé = physiothérapeute
healthcare,podiatrist,soins de santé = podologue
healthcare,psychotherapist,soins de santé = psychothérapeute
healthcare,rehabilitation,soins de santé = réadaptation
healthcare,sample_collection,soins de santé=collection d'échantillons
healthcare,speech_therapist,soins de santé=orthophoniste
healthcare,vaccination_centre,soins de santé=centre_vaccination
healthcare:speciality,abortion,soins de santé : spécialité = avortement
healthcare:speciality,acupuncture,soins de santé : spécialité = acupuncture
healthcare:speciality,allergology,soins de santé : spécialité = allergologie
healthcare:speciality,anaesthetics,soins de santé : spécialité = anesthésie
healthcare:speciality,ayurveda,soins de santé : spécialité = Ayurvéda
healthcare:speciality,behavior,soins de santé : spécialité = comportement
healthcare:speciality,biochemistry,soins de santé : spécialité = biochimie
healthcare:speciality,biological_haematology,soins de santé : spécialité = hématologie biologique
healthcare:speciality,biology,soins de santé : spécialité = biologie
healthcare:speciality,blood_check,soins de santé : spécialité = bilan sanguin
healthcare:speciality,body,soins de santé : spécialité = corps
healthcare:speciality,cardiac_surgery,soins de santé : spécialité = chirurgie cardiaque
healthcare:speciality,cardiology,soins de santé : spécialité = cardiologie
healthcare:speciality,cardiothoracic_surgery,soins de santé : spécialité = chirurgie cardiothoracique
healthcare:speciality,child_psychiatry,soins de santé : spécialité = psychiatrie infantile
healthcare:speciality,chiropractic,soins de santé : spécialité = chiropratique
healthcare:speciality,clinic,soins de santé : spécialité = clinique
healthcare:speciality,clinical_pathology,soins de santé : spécialité = pathologie clinique
healthcare:speciality,community,soins de santé : spécialité = communauté
healthcare:speciality,covid19,soins de santé : spécialité = COVID-19
healthcare:speciality,dental_oral_maxillo_facial_surgery,"soins de santé : spécialité = chirurgie dentaire, orale et maxillo-faciale"
healthcare:speciality,dentist,soins de santé : spécialité = dentiste
healthcare:speciality,dentist;orthodontics,soins de santé : spécialité = dentiste ; orthodontie
healthcare:speciality,dentistry,soins de santé : spécialité = dentisterie
healthcare:speciality,depth,soins de santé : spécialité = profondeur
healthcare:speciality,dermatology,soins de santé : spécialité = dermatologie
healthcare:speciality,dermatovenereology,soins de santé : spécialité = dermatovénéréologie
healthcare:speciality,diagnostic_radiology,soins de santé : spécialité = radiologie_diagnostique
healthcare:speciality,dialysis,soins de santé : spécialité = dialyse
healthcare:speciality,dietitian,soins de santé : spécialité = diététicien
healthcare:speciality,emergency,soins de santé : spécialité = urgence
healthcare:speciality,endocrinology,soins de santé : spécialité = endocrinologie
healthcare:speciality,family_medicine,soins de santé : spécialité = médecine familiale
healthcare:speciality,fertility,soins de santé : spécialité = fertilité
healthcare:speciality,gastroenterological_surgery,soins de santé : spécialité = chirurgie gastro-intestinale
healthcare:speciality,gastroenterology,soins de santé : spécialité = gastro-entérologie
healthcare:speciality,general,soins de santé : spécialité = général
healthcare:speciality,geriatrics,soins de santé : spécialité = gériatrie
healthcare:speciality,gynaecology,soins de santé : spécialité = gynécologie
healthcare:speciality,haematology,soins de santé : spécialité = hématologie
healthcare:speciality,hepatology,soins de santé : spécialité = hépatologie
healthcare:speciality,homeopathy,soins de santé : spécialité = homéopathie
healthcare:speciality,humanistic,soins de santé : spécialité = humaniste
healthcare:speciality,immunology,soins de santé : spécialité = immunologie
healthcare:speciality,implantology,soins de santé : spécialité = implantologie
healthcare:speciality,infectious_diseases,soins de santé : spécialité = maladies infectieuses
healthcare:speciality,intensive,soins de santé : spécialité = intensifs
healthcare:speciality,internal,soins de santé : spécialité = interne
healthcare:speciality,kinesitherapy,soins de santé : spécialité = kinésithérapie
healthcare:speciality,massage_therapy,soins de santé : spécialité = massothérapie
healthcare:speciality,maternity,soins de santé : spécialité = maternité
healthcare:speciality,maxillofacial_surgery,soins de santé : spécialité = chirurgie maxillo-faciale
healthcare:speciality,medical_examination,soins de santé : spécialité = examen médical
healthcare:speciality,microbiology,soins de santé : spécialité = microbiologie
healthcare:speciality,naturopathy,soins de santé : spécialité = naturopathie
healthcare:speciality,neonatology,soins de santé : spécialité = néonatologie
healthcare:speciality,nephrology,soins de santé : spécialité = néphrologie
healthcare:speciality,neurology,soins de santé : spécialité = neurologie
healthcare:speciality,neurophysiology,soins de santé : spécialité = neurophysiologie
healthcare:speciality,neuropsychiatry,soins de santé : spécialité = neuropsychiatrie
healthcare:speciality,neurosurgery,soins de santé : spécialité = neurochirurgie
healthcare:speciality,nuclear,soins de santé : spécialité = nucléaire
healthcare:speciality,occupational,soins de santé : spécialité = soins de santé professionnels
healthcare:speciality,oncology,soins de santé : spécialité = oncologie
healthcare:speciality,ophthalmology,soins de santé : spécialité = ophtalmologie
healthcare:speciality,optometry,soins de santé : spécialité = optométrie
healthcare:speciality,orthodontics,soins de santé : spécialité = orthodontie
healthcare:speciality,orthopaedics,soins de santé : spécialité = orthopédie
healthcare:speciality,osteopathy,soins de santé : spécialité = ostéopathie
healthcare:speciality,otolaryngology,soins de santé : spécialité = oto-rhino-laryngologie
healthcare:speciality,otorhinolaryngology,soins de santé : spécialité = oto-rhino-laryngologie
healthcare:speciality,paediatric_surgery,soins de santé : spécialité = chirurgie pédiatrique
healthcare:speciality,paediatrics,soins de santé : spécialité = pédiatrie
healthcare:speciality,palliative,soins de santé : spécialité = soins palliatifs
healthcare:speciality,pathology,soins de santé : spécialité = pathologie
healthcare:speciality,pharmacology,soins de santé : spécialité = pharmacologie
healthcare:speciality,physiatry,soins de santé : spécialité = médecine physique et de réadaptation
healthcare:speciality,physiotherapy,soins de santé : spécialité = physiothérapie
healthcare:speciality,plastic_surgery,soins de santé : spécialité = chirurgie plastique
healthcare:speciality,podiatry,soins de santé : spécialité = podologie
healthcare:speciality,primary_care,soins de santé:spécialité=soins_primaires
healthcare:speciality,proctology,soins de santé : spécialité = proctologie
healthcare:speciality,psychiatry,soins de santé : spécialité = psychiatrie
healthcare:speciality,psychology,soins de santé : spécialité = psychologie
healthcare:speciality,psychotherapist,soins de santé : spécialité = psychothérapeute
healthcare:speciality,pulmonology,soins de santé : spécialité = pneumologie
healthcare:speciality,radiology,soins de santé : spécialité = radiologie
healthcare:speciality,radiotherapy,soins de santé : spécialité = radiothérapie
healthcare:speciality,rheumatology,soins de santé : spécialité = rhumatologie
healthcare:speciality,stomatology,soins de santé : spécialité = stomatologie
healthcare:speciality,surgery,soins de santé : spécialité = chirurgie
healthcare:speciality,surgical_oncology,soins de santé : spécialité = oncologie chirurgicale
healthcare:speciality,systemic,soins de santé : spécialité = systémique
healthcare:speciality,thoracic_surgery,soins de santé : spécialité = chirurgie thoracique
healthcare:speciality,traditional_chinese_medicine,soins de santé : spécialité = médecine traditionnelle chinoise
healthcare:speciality,transplant,soins de santé : spécialité = transplantation
healthcare:speciality,trauma,soins de santé : spécialité = traumatologie
healthcare:speciality,tropical,soins de santé : spécialité = tropical
healthcare:speciality,urology,soins de santé : spécialité = urologie
healthcare:speciality,vaccination,soins de santé : spécialité = vaccination
healthcare:speciality,vascular_surgery,soins de santé : spécialité = chirurgie vasculaire
healthcare:speciality,venereology,soins de santé : spécialité = vénéréologie
healthcare:speciality,weight_loss,soins de santé : spécialité = perte de poids
hedge,hedge_bank,hedge=hedge_bank
height,0,hauteur=0
heritage,1,héritage=1
heritage,2,héritage=2
heritage,3,héritage=3
heritage,4,héritage=4
heritage,5,héritage=5
heritage,6,héritage=6
heritage,7,héritage=7
heritage,8,héritage=8
heritage,9,héritage=9
heritage,10,héritage=10
heritage:operator,bda,héritage:opérateur=bda
heritage:operator,BLfD,héritage:opérateur=BLfD
heritage:operator,Institut für Denkmalschutz und Denkmalpflege Düsseldorf,Heritage:operator=Institut für Denkmalschutz und Denkmalpflege Düsseldorf
heritage:operator,kons,héritage:opérateur=kons
heritage:operator,lfd,héritage:opérateur=lfd
heritage:operator,mhs,héritage:opérateur=mhs
heritage:operator,nid,héritage:opérateur=nid
heritage:operator,nrhp,héritage:opérateur=nrhp
heritage:operator,OnroerendErfgoed,patrimoine:opérateur=OnroerendErfgoed
heritage:operator,rce,héritage:opérateur=rce
heritage:operator,UntereDenkmalbehörde,patrimoine:operator=UntereDenkmalbehörde
heritage:operator:short,Denkmalamt Düsseldorf,patrimoine:operator:short=Denkmalamt Düsseldorf
heritage:operator:wikidata,Q59161646,patrimoine:opérateur:wikidata=Q59161646
heritage:ref,05111000_A_01676,patrimoine:ref=05111000_A_01676
heritage:since,2020-09-26,héritage : depuis le 26 septembre 2020
heritage:website,https://www.duesseldorf.de/denkmalschutz/gasleuchten,patrimoine:website=https://www.duesseldorf.de/denkmalschutz/gasleuchten
HFCS,Major Collector,HFCS=Collecteur principal
HFCS,Major␣Collector,HFCS= Collecteur majeur ␣
HFCS,Minor Arterial,HFCS = Artériel mineur
HFCS,Minor␣Arterial,HFCS= Artériel mineur α
HFCS,Principal Arterial,HFCS=Artère principale
HFCS,Principal Arterial - Other,HFCS = Artérielle principale - Autre
HFCS,Principal␣Arterial,HFCS=Principal ␣ Artériel
HFCS,Principal␣Arterial␣-␣Other,HFCS=Principal ␣ Artériel ␣ - ␣ Autre
HFCS,Urban Collector,HFCS = Collecteur urbain
HFCS,Urban Minor Arterial,HFCS=Artère mineure urbaine
HFCS,Urban Principal Arterial,HFCS=Artère principale urbaine
HFCS,Urban Principal Arterial - Other,HFCS = Artère principale urbaine - Autre
HFCS,Urban␣Collector,HFCS= Collecteur urbain ␣
HFCS,Urban␣Minor␣Arterial,HFCS=Urbain ␣ Mineur ␣ Artériel
HFCS,Urban␣Principal␣Arterial,HFCS=Urbain ␣ Principal ␣ Artériel
HFCS,Urban␣Principal␣Arterial␣-␣Other,HFCS=Urbain ␣ Principal ␣ Artériel ␣ - ␣ Autre
hgv,delivery,poids lourd = livraison
hgv,designated,hgv=désigné
hgv,destination,hgv=destination
hgv,discouraged,hgv=déconseillé
hgv,local,hgv=local
hgv,no,hgv=non
hgv:national_network,no,hgv:réseau_national=non
hgv:national_network,terminal_access,hgv:réseau_national=accès_terminal
highspeed,no,haut débit = non
highway,abandoned,autoroute = abandonnée
highway,access,autoroute = accès
highway,bazaar,autoroute=bazar
highway,bridleway,route = chemin de bride
highway,bus_guideway,autoroute=voie de bus
highway,bus_stop,autoroute=arrêt_de_bus
highway,busway,autoroute = voie de bus
highway,cattle_grid,autoroute=grille à bétail
highway,construction,autoroute = construction
highway,conveyor,autoroute = convoyeur
highway,corridor,autoroute = corridor
highway,crossing,autoroute = passage à niveau
highway,cycleway,autoroute = piste cyclable
highway,cycleway_link,autoroute=piste_cyclable
highway,disused,autoroute = désaffectée
highway,elevator,autoroute = ascenseur
highway,emergency_access_point,autoroute=point_d_accès_d_urgence
highway,emergency_bay,autoroute=baie_d'urgence
highway,escape,autoroute = évasion
highway,footway,autoroute = trottoir
highway,ford,autoroute=ford
highway,gate,autoroute = porte
highway,give_way,autoroute=céder_la_passe
highway,green_lane,autoroute=voie_verte
highway,lane,autoroute = voie
highway,living_street,autoroute=rue_vivante
highway,milestone,route = borne kilométrique
highway,mini_roundabout,autoroute=mini_rond-point
highway,minor,autoroute=mineure
highway,motorway,autoroute
highway,motorway_junction,autoroute=jonction_autoroutier
highway,motorway_link,autoroute=lien_autoroutier
highway,moving_walkway,autoroute=tapis roulant
highway,no,autoroute=non
highway,ohm:military:Trench,autoroute=ohm:militaire:Trench
highway,ohm:ww1:militaryTrench,autoroute=ohm:ww1:tranchée militaire
highway,passing_place,autoroute=lieu de passage
highway,path,autoroute=chemin
highway,Path/Examples,autoroute=Chemin/Exemples
highway,pedestrian,autoroute=piéton
highway,piste,autoroute = piste
highway,planned,autoroute = planifiée
highway,platform,autoroute = plate-forme
highway,primary,autoroute=primaire
highway,primary_link,autoroute=lien_primaire
highway,priority,autoroute = priorité
highway,proposed,autoroute=projetée
highway,raceway,autoroute = circuit
highway,razed,autoroute rasée
highway,residential,autoroute=résidentiel
highway,residential_link,autoroute=lien_résidentiel
highway,rest_area,autoroute=aire_de_repos
highway,road,autoroute = route
highway,secondary,autoroute = secondaire
highway,secondary_link,autoroute=lien_secondaire
highway,service,autoroute=service
highway,services,autoroute=services
highway,skyway,autoroute = voie aérienne
highway,speed_camera,autoroute=radar_de_vitesse
highway,speed_display,autoroute=affichage_vitesse
highway,steps,autoroute = marches
highway,stop,autoroute = arrêt
highway,street,autoroute = rue
highway,street_lamp,autoroute=lampadaire
highway,tertiary,autoroute=tertiaire
highway,tertiary_link,autoroute=lien_tertiaire
highway,toll_booth,autoroute=péage
highway,toll_gantry,autoroute=portique_de_péage
highway,tourist_bus_stop,autoroute=arrêt_de_bus_touristique
highway,track,autoroute = voie ferrée
highway,traffic_calming,autoroute=calmer_la_circulation
highway,traffic_mirror,autoroute=rétroviseur_trafic
highway,traffic_signals,autoroute=feux_de_circulation
highway,trail,autoroute = sentier
highway,trailhead,route = début de sentier
highway,trunk,autoroute = tronc
highway,trunk_link,autoroute=lien_tronc
highway,turning_circle,autoroute=rond-point
highway,turning_loop,autoroute=boucle de virage
highway,unclassified,autoroute=non classée
highway,unsurfaced,route=non revêtue
highway,via_ferrata,autoroute=via_ferrata
highway,yield,autoroute=céder le passage
highway:category:pl,1,autoroute:catégorie:pl=1
highway:category:pl,2,autoroute:catégorie:pl=2
highway:category:pl,3,autoroute:catégorie:pl=3
highway:class:pl,GP,autoroute:class:pl=GP
highway:class:pl,S,autoroute:classe:pl=S
historic,*,historique=*
historic,abandoned,historique = abandonné
historic,aircraft,historique=avion
historic,anchor,historique=ancre
historic,aqueduct,aqueduc historique
historic,archaeological_site,site archéologique historique
historic,artifact,historique=artefact
historic,battlefield,champ de bataille historique
historic,bomb_crater,historique=cratère_de_bombe
historic,boundary_stone,historique=pierre_limite
historic,bridge,pont historique
historic,building,bâtiment historique
historic,bunker,bunker historique
historic,cannon,historique = canon
historic,castle,historique=château
historic,castle_wall,historique=mur_du_château
historic,cemetery,cimetière historique
historic,charcoal_pile,historique=pile_de_charbon
historic,church,église historique
historic,city_gate,historique=porte_de_la_ville
historic,city_wall,rempart historique
historic,citywalls,remparts historiques
historic,creamery,historique=laiterie
historic,district,quartier historique
historic,epigraph,historique=épigraphe
historic,event,événement historique
historic,farm,ferme historique
historic,flood_mark,historique=marque_d'inondation
historic,folly,historique = folie
historic,fort,historique=fort
historic,gallows,historique = potence
historic,heritage,historique=patrimoine
historic,highwater_mark,historique=pointe_de_haute_eau
historic,hollow_way,historique=voie_creuse
historic,house,maison historique
historic,industrial,historique=industriel
historic,locomotive,historique = locomotive
historic,manor,historique=manoir
historic,maritime,historique=maritime
historic,memorial,historique=mémorial
historic,meteor_crater,historique=cratère_de_météorite
historic,milestone,historique = jalon
historic,mine,historique=mine
historic,mine_shaft,historique=puits_de_mine
historic,monastery,monastère historique
historic,monument,monument historique
historic,no,historique=non
historic,ogham_stone,historique=pierre d'Ogham
historic,optical_telegraph,historique=télégraphe_optique
historic,pa,historique=pa
historic,paleontological_site,site paléontologique historique
historic,pillory,historique=pillory
historic,quarry,carrière historique
historic,railway,historique=chemin de fer
historic,railway_car,wagon de chemin de fer historique
historic,rampart,historique=rampart
historic,road,route historique
historic,roman_road,historique=route romaine
historic,ruins,ruines historiques
historic,rune_stone,historique=pierre runique
historic,shieling,historique=bouclier
historic,ship,navire historique
historic,stone,historique = pierre
historic,tank,historique=char
historic,technical_monument,monument historique=technique
historic,threshing_floor,historique=aire de battage
historic,tomb,tombeau historique
historic,tower,tour historique
historic,tree_shrine,sanctuaire historique de l'arbre
historic,vehicle,véhicule historique
historic,venta,historique=vente
historic,wall,mur historique
historic,wayside_chapel,chapelle historique en bord de route
historic,wayside_cross,historique=passerelle
historic,wayside_shrine,sanctuaire historique en bord de route
historic,wreck,historique=épave
historic:civilization,imperial_chinese,civilisation historique=chinoise impériale
historic:civilization,neolithic,civilisation historique = néolithique
historic:civilization,prehistoric,civilisation historique = préhistorique
historic:period,heian,historique:période=heian
historic:railway,station,gare historique
holding_position,ILS,position_de_maintien=ILS
holding_position,intermediate,position_de_détention=intermédiaire
holding_position,runway,position_de_maintien=piste
holding_position:type,ILS,holding_position:type=ILS
holding_position:type,intermediate,holding_position:type=intermédiaire
holding_position:type,runway,holding_position:type=piste
hoops,1,cerceaux=1
hoops,2,cerceaux = 2
horreo,panera,horreo=panera
horse,designated,cheval = désigné
horse,dismount,cheval = descendre
horse,no,cheval = non
horse,permissive,cheval = permissif
horse,private,cheval = privé
horse,unknown,cheval=inconnu
house,bungalow,maison=bungalow
house,detached,maison individuelle
house,link-detached,maison=liée-détachée
house,maisonette,maisonnette
house,residential,maison=résidentiel
house,semi-detached,maison jumelée
house,terrace,maison=terrasse
house,terraced,maison = terrasse
HU:ed_direction,forward,HU:ed_direction=avant
hunting,raised_hide,chasse=massacre_haussé
IBGE:CD_ADMINIS,estadual,IBGE:CD_ADMINIS=estadual
IBGE:CD_ADMINIS,federal,IBGE:CD_ADMINIS=fédéral
ice_skates,kluning,patins à glace=kluning
import,budovy201004,import=budovy201004
import,budovy201004drev,import=budovy201004drev
import,freemapkapor,import=freemapkapor
import,grabremote,import=grabremote
import_ref,kapor_names,import_ref=kapor_names
import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,import_uuid=bb7269ee-502a-5391-8056-e3ce0e66489c
importance,national,importance=national
importance,regional,importance=régionale
incline,"0,00%","inclinaison = 0,00 %"
incline,0%,inclinaison = 0 %
incline,"10,00%","inclinaison = 10,00 %"
incline,10%,inclinaison = 10%
incline,down,inclinaison = vers le bas
incline,up,inclinaison=vers le haut
incline,up/down,inclinaison = haut/bas
indoor,area,intérieur = zone
indoor,column,intérieur=colonne
indoor,corridor,intérieur = couloir
indoor,door,intérieur = porte
indoor,level,intérieur = niveau
indoor,no,intérieur = non
indoor,room,intérieur = pièce
indoor,wall,intérieur = mur
indoor_seating,no,places assises intérieures=non
indoormark,beacon,marque intérieure=balise
industrial,aluminium_smelting,industriel=fusion_d'aluminium
industrial,asphalt_plant,usine d'asphalte industrielle
industrial,auto_wrecker,industriel=démolisseur automobile
industrial,bakery,industriel=boulangerie
industrial,brewery,industriel = brasserie
industrial,brickworks,industriel = briqueterie
industrial,brickyard,industriel = briqueterie
industrial,communication,communication industrielle
industrial,concrete_plant,centrale à béton industrielle
industrial,construction_company,entreprise de construction industrielle
industrial,data_centre,industriel=centre_de_données
industrial,depot,dépôt industriel
industrial,distributor,industriel=distributeur
industrial,factory,industriel = usine
industrial,fish_farm,industriel=ferme piscicole
industrial,food_industry,industriel=industrie_alimentaire
